Time,GPS time, GPS status, Latitude, Lontitude, Altitude, Easting, Northing, Velocity, Heading, Roll,Pitch,Yaw,Accel_Roll,Accel_Pitch,Accel_Yaw,Rate_Roll,Rate_Pitch,Rate_Yaw
40.5,31355.2, 4, 43.0738980785, 141.3375571293,14.759000, 527480.7405,4769076.3906,0.76,328.600, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
41.0,31355.7, 4, 43.0739111767, 141.3375455740,14.747000, 527479.7939,4769077.8413,0.56,329.440, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
41.5,31356.2, 4, 43.0739242958, 141.3375343553,14.702000, 527478.8747,4769079.2945,0.47,329.180, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
42.0,31356.7, 4, 43.0739376133, 141.3375232568,14.691000, 527477.9652,4769080.7698,0.39,331.500, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
42.5,31357.2, 4, 43.0739506568, 141.3375120328,14.685000, 527477.0457,4769082.2146,0.34,327.500, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
43.0,31357.7, 4, 43.0739637427, 141.3375010770,14.683000, 527476.1479,4769083.6642,0.28,329.340, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
43.5,31358.2, 4, 43.0739767760, 141.3374902702,14.692000, 527475.2623,4769085.1080,0.24,327.630, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
44.0,31358.7, 4, 43.0739896243, 141.3374790960,14.703000, 527474.3469,4769086.5312,0.22,330.820, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
44.5,31359.2, 4, 43.0740029430, 141.3374681433,14.703000, 527473.4492,4769088.0066,0.22,329.010, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
45.0,31359.7, 4, 43.0740160722, 141.3374572738,14.698000, 527472.5585,4769089.4610,0.19,330.610, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
45.5,31400.2, 4, 43.0740295670, 141.3374461592,14.676000, 527471.6476,4769090.9560,0.19,333.320, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
46.0,31400.7, 4, 43.0740426552, 141.3374350760,14.666000, 527470.7395,4769092.4058,0.17,330.520, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
46.5,31401.2, 4, 43.0740558675, 141.3374241612,14.661000, 527469.8450,4769093.8695,0.16,329.910, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
47.0,31401.7, 4, 43.0740685550, 141.3374136352,14.675000, 527468.9824,4769095.2750,0.14,332.670, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
47.5,31402.2, 4, 43.0740810302, 141.3374030885,14.697000, 527468.1182,4769096.6569,0.14,327.440, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
48.0,31402.7, 4, 43.0740931685, 141.3373931298,14.708000, 527467.3021,4769098.0016,0.13,325.690, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
48.5,31403.2, 4, 43.0741059865, 141.3373828520,14.705000, 527466.4596,4769099.4217,0.12,332.690, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
49.0,31403.7, 4, 43.0741174233, 141.3373732082,14.709000, 527465.6694,4769100.6886,0.10,332.210, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
49.5,31404.2, 4, 43.0741271940, 141.3373653030,14.716000, 527465.0215,4769101.7710,0.08,332.030, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
50.0,31404.7, 4, 43.0741367673, 141.3373574308,14.717000, 527464.3763,4769102.8315,0.08,328.960, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
50.5,31405.2, 4, 43.0741461753, 141.3373496272,14.714000, 527463.7368,4769103.8737,0.08,322.890, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
51.0,31405.7, 4, 43.0741551540, 141.3373420312,14.715000, 527463.1144,4769104.8683,0.07,324.760, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
51.5,31406.2, 4, 43.0741642830, 141.3373342618,14.710000, 527462.4778,4769105.8796,0.06,333.780, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
52.0,31406.7, 4, 43.0741722612, 141.3373274960,14.704000, 527461.9235,4769106.7633,0.05,328.920, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
52.5,31407.2, 4, 43.0741784832, 141.3373222513,14.684000, 527461.4937,4769107.4526,0.05,333.050, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
53.0,31407.7, 4, 43.0741849197, 141.3373162310,14.687000, 527461.0007,4769108.1654,0.04,331.760, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
53.5,31408.2, 4, 43.0741914393, 141.3373105745,14.675000, 527460.5373,4769108.8875,0.04,333.160, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
54.0,31408.7, 4, 43.0741979907, 141.3373049767,14.654000, 527460.0787,4769109.6132,0.04,329.090, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
54.5,31409.2, 4, 43.0742043455, 141.3372995907,14.664000, 527459.6373,4769110.3172,0.04,329.320, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
55.0,31409.7, 4, 43.0742108862, 141.3372940420,14.675000, 527459.1827,4769111.0417,0.04,328.590, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
55.5,31410.2, 4, 43.0742174990, 141.3372886975,14.652000, 527458.7447,4769111.7743,0.04,328.770, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
56.0,31410.7, 4, 43.0742234627, 141.3372831188,14.697000, 527458.2878,4769112.4347,0.04,327.930, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
56.5,31411.2, 4, 43.0742296092, 141.3372775125,14.699000, 527457.8287,4769113.1155,0.03,324.960, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
57.0,31411.7, 4, 43.0742359390, 141.3372720697,14.688000, 527457.3828,4769113.8166,0.03,328.910, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
57.5,31412.2, 4, 43.0742412818, 141.3372678083,14.673000, 527457.0335,4769114.4085,0.03,331.830, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
58.0,31412.7, 4, 43.0742463287, 141.3372634755,14.678000, 527456.6785,4769114.9676,0.03,328.430, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
58.5,31413.2, 4, 43.0742512837, 141.3372590022,14.659000, 527456.3121,4769115.5163,0.03,326.940, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
59.0,31413.7, 4, 43.0742561813, 141.3372547720,14.665000, 527455.9655,4769116.0588,0.02,327.480, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
59.5,31414.2, 4, 43.0742608752, 141.3372506207,14.665000, 527455.6255,4769116.5787,0.02,325.780, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
60.0,31414.7, 4, 43.0742655610, 141.3372463028,14.659000, 527455.2718,4769117.0977,0.02,327.530, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
60.5,31415.2, 4, 43.0742701830, 141.3372419075,14.658000, 527454.9120,4769117.6095,0.02,326.760, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
61.0,31415.7, 4, 43.0742752655, 141.3372377982,14.647000, 527454.5751,4769118.1726,0.02,328.700, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
61.5,31416.2, 4, 43.0742804623, 141.3372336642,14.642000, 527454.2363,4769118.7483,0.02,334.690, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
